DAY,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,33,33,38,48,58,67,75,77,73,62,52,42
2,33,33,38,48,58,67,76,77,73,62,52,42
3,33,33,39,49,59,68,76,76,72,61,52,42
4,33,34,39,49,59,68,76,76,72,61,51,41
5,33,34,39,49,59,68,76,76,72,61,51,41
6,33,34,39,50,60,69,76,76,71,60,51,41
7,33,34,40,50,60,69,76,76,71,60,50,40
8,33,34,40,50,60,69,76,76,71,59,50,40
9,33,34,40,51,60,70,76,76,71,59,50,40
10,32,34,41,51,61,70,76,76,70,59,50,39
11,32,35,41,52,61,70,77,76,70,58,49,39
12,32,35,41,52,61,71,77,76,70,58,49,39
13,32,35,41,52,62,71,77,76,69,58,49,38
14,32,35,42,53,62,71,77,76,69,57,48,38
15,32,35,42,53,62,72,77,76,68,57,48,38
16,32,35,42,53,62,72,77,75,68,57,48,37
17,32,36,43,54,63,72,77,75,68,56,47,37
18,32,36,43,54,63,72,77,75,67,56,47,37
19,32,36,43,54,63,73,77,75,67,56,47,36
20,32,36,44,55,64,73,77,75,67,56,46,36
21,32,36,44,55,64,73,77,75,66,55,46,36
22,32,37,44,55,64,73,77,75,66,55,46,36
23,32,37,45,56,64,74,77,75,65,55,45,35
24,33,37,45,56,65,74,77,74,65,54,45,35
25,33,37,45,56,65,74,77,74,65,54,45,35
26,33,37,46,57,65,74,77,74,64,54,44,35
27,33,38,46,57,66,75,77,74,64,54,44,34
28,33,38,46,57,66,75,77,74,63,53,44,34
29,33,33,47,58,66,75,77,73,63,53,43,34
30,33,-,47,58,67,75,77,73,63,53,43,34
31,33,-,48,-,67,-,77,73,-,52,-,34
,,,,,,,,,,,,
Month,32.6,35.3,42.5,53.0,62.4,71.4,76.5,75.2,68.0,56.9,47.7,37.5
